Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,10250947997000,10581929774000,10929112955000,11456442041000,12217193198000,13039199193000,13815586948000,14474226905000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,25439700000000,..
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070404,2.85267248150138,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,..
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
United States,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,..
United States,USA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.92088614748242,-3.72407498836611,-4.17333961025019,-4.55898086099347,-5.20485343641858,-5.74598170416952,-5.91101922107059,-5.08872774231253,-2.2434721228246,-2.11937229657855,-1.88739358215214,-2.14216028970484,-2.06607966606092,-2.83538257957979,-3.56615967017701,-3.81920384281261,..
United States,USA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,33.2676548646821,52.4436763286348,53.8625140415158,56.2504045927814,56.6622864008834,56.5388479068386,55.4673357624473,55.6599261078117,96.4252279492666,98.5041017174837,97.6929363628875,99.0609761173397,100.805042202199,126.243300547564,120.36147560281,115.696631642669,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839853.105,1107626541710.74,1397114486471.38,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1649622821885.14,1920095779022.73,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.04414105947266,6.84035902487523,8.45016437708331,14.7149197228147,6.59718509985963,6.86953720898964,4.18356812896909,3.64127299102652,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,9.28010608956873,..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,10.649,10.641,11.169,10.072,10.551,9.692,9.28,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231,7.947
Brazil,BRA,"Population, total",SP.POP.TOTL,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498,..
